h2h_win_ratio_diff,h2h_recent_momentum,recent_form_diff,win_rate_diff,serve_rating_diff,bp_conv_pctg_diff,dom_ratio_diff,fatigue_diff,match_volume_14d_diff,win_rate_hard_diff,target,match_id,date,player_id,opponent_id,win_rate_clay_diff,win_rate_grass_diff
0.0,0.0,0.09999999999999998,0.021739130434782594,0.647140909090909,-0.16459627329192544,0.6109090909090911,0.2,2.0,,0.0,2581,2025-04-27,60,75,0.0,
-0.1,-1.0,-0.5,0.05555555555555558,0.6215882352941178,-0.14227642276422764,0.54,0.1,1.0,,1.0,2638,2025-04-27,66,75,0.0,
0.0,0.0,-0.5,0.09090909090909094,0.6953999999999999,-0.21978021978021978,0.8366666666666667,0.2,2.0,,0.0,477,2025-04-27,7,211,-0.5,
0.0,0.0,0.0,0.0714285714285714,0.653478947368421,-0.09859154929577468,0.7547368421052634,0.0,0.0,,1.0,1808,2025-04-29,31,340,0.16666666666666663,
0.0,0.0,-0.5,-0.026315789473684237,0.6053526315789473,-0.10759493670886078,0.4926315789473684,0.1,1.0,,1.0,1882,2025-04-29,34,215,-0.16666666666666669,
0.0,0.0,0.09999999999999998,0.10869565217391308,0.6651739130434784,-0.13309352517985612,0.6773913043478259,0.2,2.0,,0.0,2767,2025-04-29,70,81,0.1842105263157895,
0.0,0.0,-0.09999999999999998,-0.20588235294117646,0.6329764705882354,-0.18292682926829262,0.39588235294117646,0.2,2.0,,1.0,2010,2025-04-29,36,128,-0.07142857142857145,
0.0,0.0,-0.5,-0.026315789473684237,0.6053526315789473,-0.10759493670886078,0.4926315789473684,0.1,1.0,,0.0,1881,2025-04-29,34,61,-0.16666666666666669,
0.0,0.0,-0.09999999999999998,-0.20588235294117646,0.6329764705882354,-0.18292682926829262,0.39588235294117646,0.2,2.0,,0.0,2009,2025-04-29,36,80,-0.07142857142857145,
0.0,0.0,0.0,0.0714285714285714,0.653478947368421,-0.09859154929577468,0.7547368421052634,0.0,0.0,,1.0,1809,2025-04-29,31,428,0.16666666666666663,
0.0,0.0,-0.5,-0.11538461538461536,0.6640923076923078,-0.26595744680851063,0.5107692307692309,0.1,1.0,,0.0,2478,2025-04-29,46,99,0.09999999999999998,
0.0,0.0,0.16666666666666669,0.1339285714285714,0.002547697368421087,-0.028343615411477174,0.17723684210526325,-0.1,-1.0,,1.0,1806,2025-04-29,31,43,0.38095238095238093,
0.0,0.0,0.0,0.0714285714285714,0.653478947368421,-0.09859154929577468,0.7547368421052634,0.0,0.0,,0.0,1805,2025-04-29,31,167,0.16666666666666663,
0.0,0.0,0.0,0.0714285714285714,0.653478947368421,-0.09859154929577468,0.7547368421052634,0.0,0.0,,1.0,1807,2025-04-29,31,350,0.16666666666666663,
0.0,0.0,0.30000000000000004,0.11538461538461542,0.6609666666666666,-0.08620689655172414,0.7841666666666667,0.5,5.0,,1.0,1802,2025-05-05,31,228,0.20588235294117652,
0.0,0.0,0.30000000000000004,0.11538461538461542,0.6609666666666666,-0.08620689655172414,0.7841666666666667,0.5,5.0,,1.0,1801,2025-05-05,31,128,0.20588235294117652,
0.0,0.0,0.30000000000000004,0.11538461538461542,0.6609666666666666,-0.08620689655172414,0.7841666666666667,0.5,5.0,,1.0,1803,2025-05-05,31,356,0.20588235294117652,
0.0,0.0,0.30000000000000004,0.11538461538461542,0.6609666666666666,-0.08620689655172414,0.7841666666666667,0.5,5.0,,1.0,1804,2025-05-05,31,262,0.20588235294117652,
0.0,0.0,0.30000000000000004,0.11538461538461542,0.6609666666666666,-0.08620689655172414,0.7841666666666667,0.5,5.0,,0.0,1800,2025-05-05,31,169,0.20588235294117652,
0.0,0.0,0.25,0.0,0.6691916666666667,-0.12121212121212116,0.5012500000000002,0.4,4.0,,1.0,737,2025-05-07,11,89,0.125,
0.1,1.0,0.0,0.12962962962962965,0.6897296296296296,-0.12096774193548387,0.5411111111111113,0.2,2.0,,1.0,1933,2025-05-07,35,75,0.09999999999999998,
0.0,0.0,0.16666666666666663,0.19999999999999996,0.7010233333333332,-0.016129032258064502,0.9850000000000001,0.3,3.0,,1.0,396,2025-05-07,6,185,0.19999999999999996,
