match,tournament,round,date,completed,log_reg_prob,rf_prob,ens_prob,log_reg_ml_p1,log_reg_ml_p2,rf_ml_p1,rf_ml_p2,ens_ml_p1,ens_ml_p2,log_reg_dec_p1,log_reg_dec_p2,rf_dec_p1,rf_dec_p2,ens_dec_p1,ens_dec_p2
7055,M15 Opatija,F,2025-03-24,True,0.7845658442907324,1.0,0.9784565844290732,-364,364,-99999900,99999900,-4542,4542,1.2746,4.6418,1.0,1000000.0,1.022,46.4179
7056,M15 Opatija,SF,2025-03-24,True,0.7845658442907324,1.0,0.9784565844290732,-364,364,-99999900,99999900,-4542,4542,1.2746,4.6418,1.0,1000000.0,1.022,46.4179
7057,M15 Opatija,QF,2025-03-24,True,0.823943159158952,0.9430809595202398,0.9311671794841111,-468,468,-1657,1657,-1353,1353,1.2137,5.68,1.0604,17.5688,1.0739,14.528
7058,M15 Opatija,R16,2025-03-24,True,0.7845658442907324,1.0,0.9784565844290732,-364,364,-99999900,99999900,-4542,4542,1.2746,4.6418,1.0,1000000.0,1.022,46.4179
7059,M15 Opatija,R32,2025-03-24,True,0.7845658442907324,1.0,0.9784565844290732,-364,364,-99999900,99999900,-4542,4542,1.2746,4.6418,1.0,1000000.0,1.022,46.4179
7063,Zadar CH,Q1,2025-03-17,True,0.7974432689125781,0.91,0.8987443268912578,-394,394,-1011,1011,-888,888,1.254,4.9369,1.0989,11.1111,1.1127,9.876
15229,Manama CH,Q2,2025-02-10,True,0.7983204618950343,0.814266862220098,0.8126722221875917,-396,396,-438,438,-434,434,1.2526,4.9584,1.2281,5.3841,1.2305,5.3382
15840,Granby CH,Q1,2025-07-14,True,0.7755759397899625,0.38571892393320967,0.42470462551888494,-346,346,159,-159,135,-135,1.2894,4.4559,2.5926,1.6279,2.3546,1.7382
16533,Acapulco,Q1,2025-02-24,True,0.75902149607317,0.8981428092000985,0.8842306778874056,-315,315,-882,882,-764,764,1.3175,4.1497,1.1134,9.8177,1.1309,8.6379
16682,Perugia CH,Q2,2025-06-09,True,0.637304831128293,0.56,0.5677304831128294,-176,176,-127,127,-131,131,1.5691,2.7571,1.7857,2.2727,1.7614,2.3134
